acid_id,smiles,mw,n_heavy,n_rot,subclass,murcko_scaffold
Ac3,O=C(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,258.117,17,1,benzoic,c1ccccc1
Ac4,COc1ccccc1C(=O)O,152.149,11,2,benzoic,c1ccccc1
Ac5,CC(C)(C(=O)O)c1ccccc1,164.204,12,2,alpha_quat,c1ccccc1
Ac8,O=C(O)c1cscn1,129.14,8,1,heteroaryl,c1cscn1
Ac9,O=C(O)c1cccnc1F,141.101,10,1,aryl_other,c1ccncc1
Ac10,O=C(O)COc1ccccc1,152.149,11,3,acyclic_ali,c1ccccc1
Ac11,O=C(O)C(=O)c1ccccc1,150.133,11,2,other,c1ccccc1
Ac12,O=C(O)c1cnco1,113.072,8,1,heteroaryl,c1cocn1
Ac13,Cn1cc(C(=O)O)c2ccccc21,175.187,13,1,aryl_other,c1ccc2[nH]ccc2c1
Ac14,O=C(O)Cc1cc(Cl)ccc1Br,249.491,12,2,acyclic_ali,c1ccccc1
Ac15,O=C(O)/C=C/c1c(Cl)cccc1Cl,217.051,13,2,other,c1ccccc1
Ac16,Cc1cc(C(=O)O)c(C)o1,140.138,10,1,aryl_other,c1ccoc1
Ac17,O=C(O)C1(c2ccccc2)CC1,162.188,12,2,alpha_quat,c1ccc(C2CC2)cc1
Ac20,O=C(O)c1cccc(Cl)n1,157.556,10,1,heteroaryl,c1ccncc1
Ac21,O=C(O)c1cc(Cl)ccn1,157.556,10,1,heteroaryl,c1ccncc1
Ac22,O=C(O)c1ncc(F)cc1F,159.091,11,1,heteroaryl,c1ccncc1
Ac30,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,300.442,22,5,other,C1=CCCCC1
Ac33,O=C(O)COc1ccc(Cl)cc1Cl,221.039,13,3,acyclic_ali,c1ccccc1
Ac34,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.285,19,4,acyclic_ali,O=C(c1ccccc1)c1ccccc1
Ac37,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,300.442,22,5,other,C1=CCCCC1
Ac41,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,300.442,22,5,other,C1=CCCCC1
Ac43,C[C@H]1[C@@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,384.425,27,4,acyclic_ali,C1CC2CCOC3OC4CCC(C1)C23OO4
Ac46,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,250.338,18,6,alpha_quat,c1ccccc1
Ac47,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,285.365,19,7,benzoic,c1ccccc1
Ac51,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,326.436,24,6,other,c1ccccc1
Ac52,COc1c(Cl)ccc(Cl)c1C(=O)O,221.039,13,2,benzoic,c1ccccc1
Ac54,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,388.895,27,8,acyclic_ali,c1ccc(C(c2ccccc2)N2CCNCC2)cc1
Ac55,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,356.418,25,4,acyclic_ali,C1=Cc2ccccc2C1=Cc1ccccc1
Ac57,O=C(O)c1ccccc1I,248.019,10,1,benzoic,c1ccccc1
Ac58,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,316.382,22,5,heteroaryl,c1ccc(-c2nccs2)cc1
Ac60,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,302.458,22,2,alpha_quat,C1=CC2=CCC3CCCCC3C2CC1
Ac61,O=C(O)c1ccc(I)cc1,248.019,10,1,benzoic,c1ccccc1
Ac63,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C(=O)O)CCC[C@]21C,300.442,22,2,alpha_quat,c1ccc2c(c1)CCC1CCCCC21
Ac65,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,303.141,19,6,acyclic_ali,c1ccccc1
Ac68,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,341.275,25,3,benzoic,c1ccc2c(c1)ccc1ccc3c(c12)OCO3
Ac75,CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1,229.276,16,1,cyclic_ali,C1CCNCC1
Ac76,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,255.484,14,3,acyclic_ali,c1ccccc1
Ac82,CCCCOC(=O)c1ccccc1C(=O)O,222.24,16,5,benzoic,c1ccccc1
Ac84,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,269.511,15,3,acyclic_ali,c1ccccc1
Ac86,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,412.529,31,4,benzoic,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1
Ac89,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,235.066,14,3,acyclic_ali,c1ccccc1
Ac91,O=C(O)COc1nc(Cl)c(Cl)cc1Cl,256.472,14,3,acyclic_ali,c1ccncc1
Ac92,O=C(O)c1cccc(I)c1,248.019,10,1,benzoic,c1ccccc1
Ac95,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)CCC(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,486.737,35,9,acyclic_ali,C1=C2CCCCC2C2CCC3CCCC3C2C1
Ac96,C=C(C(=O)O)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21,234.339,17,2,other,C1=CC2CCCCC2CC1
Ac97,O=C(O)c1ccccc1C(=O)c1ccccc1,226.231,17,3,benzoic,O=C(c1ccccc1)c1ccccc1
Ac98,O=C(O)c1cccc2nc3ccccc3nc12,224.219,17,1,benzoic,c1ccc2nc3ccccc3nc2c1
Ac99,CCCCC(CC)COC(=O)c1ccccc1C(=O)O,278.348,20,8,benzoic,c1ccccc1
Ac101,O=C(O)c1cc(I)cc(I)c1I,499.811,12,1,benzoic,c1ccccc1
Ac102,O=C(O)CCCc1ccc2ccc3cccc4ccc1c2c34,288.346,22,4,acyclic_ali,c1cc2ccc3cccc4ccc(c1)c2c34
Ac104,CC(=O)Oc1cc2c(cc1Cl)C(c1ccccc1C(=O)O)c1cc(Cl)c(OC(C)=O)cc1O2,487.291,33,4,benzoic,c1ccc(C2c3ccccc3Oc3ccccc32)cc1
Ac105,COc1ccc2cc(C(C)C(=O)O)ccc2c1,230.263,17,3,acyclic_ali,c1ccc2ccccc2c1
Ac106,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,390.467,27,11,acyclic_ali,O=C1CC2CCCOC2C1
Ac108,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,321.163,21,3,heteroaryl,c1ccc(Cn2ncc3ccccc32)cc1
Ac110,CC(C)COC(=O)c1ccccc1C(=O)O,222.24,16,4,benzoic,c1ccccc1
Ac112,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,282.295,21,2,acyclic_ali,O=c1c2ccccc2oc2ccccc12
Ac114,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,293.322,22,5,acyclic_ali,c1ccc(-c2ncoc2-c2ccccc2)cc1
Ac117,O=C(O)c1ccc2ccc3cccc4ccc1c2c34,246.265,19,1,benzoic,c1cc2ccc3cccc4ccc(c1)c2c34
Ac118,O=C(O)c1ccc(C(=O)c2ccccc2)cc1,226.231,17,3,benzoic,O=C(c1ccccc1)c1ccccc1
Ac119,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,289.158,18,4,acyclic_ali,c1ccc(C2CC2)cc1
Ac120,CCCCCCCCOc1ccc(C(=O)O)cc1,250.338,18,9,benzoic,c1ccccc1
Ac121,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,454.695,33,2,alpha_quat,O=C1CCC2C(CCC3C2CCC2C4CCCC4CCC23)C1
Ac122,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,260.314,18,4,acyclic_ali,O=C(c1ccccc1)c1cccs1
Ac125,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,348.486,26,3,benzoic,C(=Cc1ccc2c(c1)CCCC2)c1ccccc1
Ac128,CCCCCCCCCCCCOc1ccc(C(=O)O)cc1,306.446,22,13,benzoic,c1ccccc1
Ac129,C=C[C@@]1(C)CC[C@H]2C(=CC[C@@H]3[C@]2(C)CCC[C@@]3(C)C(=O)O)C1,302.458,22,2,alpha_quat,C1=C2CCCCC2C2CCCCC2C1
Ac130,CCCCCCCCCCOc1ccc(C(=O)O)cc1,278.392,20,11,benzoic,c1ccccc1
Ac131,COc1cc(/C=C/C(=O)O)cc(OC)c1OC,238.239,17,5,other,c1ccccc1
Ac132,CCCCCCOc1ccc(C(=O)O)cc1,222.284,16,7,benzoic,c1ccccc1
Ac135,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,249.269,19,2,aryl_other,c1ccc(-c2ccc3ccccc3n2)cc1
Ac137,O=C(O)CCCOc1ccc(Cl)cc1Cl,249.093,15,5,acyclic_ali,c1ccccc1
Ac145,COc1cc(CC(=O)O)cc(OC)c1OC,226.228,16,5,acyclic_ali,c1ccccc1
Ac146,Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,375.374,28,3,aryl_other,c1ccc(-c2ccc(-c3ccc4ccccc4n3)cc2)cc1
Ac147,COc1ccc(Br)c(C(=O)O)c1,231.045,12,2,benzoic,c1ccccc1
Ac148,C[C@@]12CC[C@@H]3[C@@](CC[C@H]4[C@@]3(C)CCC[C@@]4(C)C(=O)O)(CC1=O)C2,318.457,23,1,alpha_quat,O=C1CC23CCC4CCCCC4C2CCC1C3
Ac149,O=C(O)/C=C/c1ccc(Br)cc1,227.057,12,2,other,c1ccccc1
Ac150,O=C(O)c1ccccc1P(c1ccccc1)c1ccccc1,306.301,22,4,benzoic,c1ccc(P(c2ccccc2)c2ccccc2)cc1
Ac151,CC1=C[C@H]2[C@@H](CC1)[C@H](C)CC[C@H]2[C@@H](C)C(=O)O,236.355,17,2,acyclic_ali,C1=CC2CCCCC2CC1
Ac153,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,262.221,19,2,heteroaryl,O=c1cn[nH]c2cc3c(cc12)OCO3
Ac155,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,260.314,18,4,acyclic_ali,O=C(c1ccccc1)c1cccs1
Ac156,CCCCCCCOc1ccc(C(=O)O)cc1,236.311,17,8,benzoic,c1ccccc1
Ac157,CC(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)O,361.703,24,5,acyclic_ali,c1ccc(Oc2ccccn2)cc1
Ac158,CC(C#N)(CCC(=O)O)SC(=S)c1ccccc1,279.386,18,5,acyclic_ali,c1ccccc1
Ac159,CCC(CCC(C)=O)COC(=O)c1ccccc1C(=O)O,292.331,21,8,benzoic,c1ccccc1
Ac161,O=C(O)C(c1ccccc1)(c1ccccc1)c1ccccc1,288.346,22,4,alpha_quat,c1ccc(C(c2ccccc2)c2ccccc2)cc1
Ac164,O=C(O)c1cccc(S(=O)(=O)Cl)c1,220.633,13,2,benzoic,c1ccccc1
Ac165,CC(Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1)C(=O)O,333.727,23,5,acyclic_ali,c1ccc(Oc2nc3ccccc3o2)cc1
Ac166,O=C(O)c1ccc(S(=O)(=O)Cl)cc1,220.633,13,2,benzoic,c1ccccc1
Ac167,O=C(O)/C(=C/c1ccccc1)c1ccccc1,224.259,17,3,other,C(=Cc1ccccc1)c1ccccc1
Ac168,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,384.425,27,4,acyclic_ali,C1CC2CCOC3OC4CCC(C1)C23OO4
Ac169,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C,360.582,26,4,acyclic_ali,C1CCC2C(C1)CCC1C3CCCC3CCC21
Ac170,O=C(O)/C=C/c1ccc(C(F)(F)F)cc1,216.158,15,2,other,c1ccccc1
Ac171,CC(C)(C)OC(=O)N1CCCC(C(=O)O)C1,229.276,16,1,cyclic_ali,C1CCNCC1
Ac172,CC1(C)OB(c2ccc(C(=O)O)cc2)OC1(C)C,248.087,18,2,benzoic,c1ccc(B2OCCO2)cc1
Ac173,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,331.176,20,5,acyclic_ali,O=C(c1ccccc1)c1cccs1
Ac174,O=C(O)c1ccc(Br)cc1F,219.009,11,1,benzoic,c1ccccc1
Ac175,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,228.251,17,4,other,c1ccc(Cn2ccnc2)cc1
Ac176,CC(Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(=O)O,327.258,23,5,acyclic_ali,c1ccc(Oc2ccccn2)cc1
Ac181,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,453.507,30,7,acyclic_ali,c1ccc(SCc2cnc(-c3ccccc3)s2)cc1
Ac182,O=C(O)c1cc(Br)ccc1Cl,235.464,11,1,benzoic,c1ccccc1
Ac183,CC(C)(C)OC(=O)N1CCC(CC(=O)O)CC1,243.303,17,2,acyclic_ali,C1CCNCC1
Ac184,O=C(O)C(=O)c1ccc(Br)cc1,229.029,12,2,other,c1ccccc1
Ac185,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,255.273,19,2,acyclic_ali,c1ccc2c(c1)Cc1cccnc1O2
Ac186,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1,372.417,26,4,acyclic_ali,C1=Cc2ccccc2C1=Cc1ccccc1
Ac187,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,248.156,17,2,benzoic,c1ccccc1
Ac189,O=C(O)Cc1ccccc1I,262.046,11,2,acyclic_ali,c1ccccc1
Ac191,Cc1cc(Cl)ccc1OCCCC(=O)O,228.675,15,5,acyclic_ali,c1ccccc1
Ac192,CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,408.472,28,11,acyclic_ali,c1ccc(CCOc2ccccc2)cc1
Ac193,CCCCC/C=C/C=C1/C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O,316.441,23,11,acyclic_ali,C=C1CC=CC1=O
Ac194,O=C(O)CCN1C(=O)c2ccccc2C1=O,219.196,16,3,acyclic_ali,O=C1NC(=O)c2ccccc21
Ac195,O=C(O)CCc1ccc(Br)cc1,229.073,12,3,acyclic_ali,c1ccccc1
Ac196,Cc1ccc(S(=O)(=O)NCC(=O)O)cc1,229.257,15,4,alpha_amino,c1ccccc1
Ac198,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,348.446,26,6,other,C(CN1CCCC1)=C(c1ccccc1)c1ccccn1
Ac199,O=C(O)CCSC(c1ccccc1)(c1ccccc1)c1ccccc1,348.467,25,7,acyclic_ali,c1ccc(C(c2ccccc2)c2ccccc2)cc1
Ac201,O=C(O)c1cc(Br)cc(Br)c1,279.915,11,1,benzoic,c1ccccc1
Ac202,O=C(O)c1cc(OCc2ccccc2)c(OCc2ccccc2)c(OCc2ccccc2)c1,440.495,33,10,benzoic,c1ccc(COc2cccc(OCc3ccccc3)c2OCc2ccccc2)cc1
Ac204,O=C(O)Cc1ccc(I)cc1,262.046,11,2,acyclic_ali,c1ccccc1
Ac206,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,318.756,22,5,acyclic_ali,O=C(c1ccccc1)c1ccccc1
Ac207,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,298.363,21,2,acyclic_ali,O=C1Cc2ccccc2Sc2ccccc21
Ac208,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,324.38,24,6,acyclic_ali,c1ccc(Cn2ncc3ccccc32)cc1
Ac209,O=C(O)Cc1ccc(CBr)cc1,229.073,12,3,acyclic_ali,c1ccccc1
Ac213,Cc1ccc(I)c(C(=O)O)c1,262.046,11,1,benzoic,c1ccccc1
Ac215,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,240.258,18,3,benzoic,O=C(c1ccccc1)c1ccccc1
Ac216,COc1cc(C(=O)O)c([N+](=O)[O-])cc1OC,227.172,16,4,benzoic,c1ccccc1
Ac218,O=C(O)c1ccc(Br)cc1Cl,235.464,11,1,benzoic,c1ccccc1
Ac222,O=C(O)C1CCN(C(=O)OCc2ccccc2)CC1,263.293,19,3,cyclic_ali,O=C(OCc1ccccc1)N1CCCCC1
Ac223,COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1,410.426,30,9,acyclic_ali,c1ccc(C(COc2ncccn2)c2ccccc2)cc1
Ac224,CCCCCCCCCOc1ccc(C(=O)O)cc1,264.365,19,10,benzoic,c1ccccc1
Ac225,O=C(O)c1ccc(Br)c(F)c1,219.009,11,1,benzoic,c1ccccc1
Ac226,CCCCCCCCCCCCCCOc1ccc(C(=O)O)o1,324.461,23,15,heteroaryl,c1ccoc1
Ac227,O=C(O)c1ccc(F)cc1Br,219.009,11,1,benzoic,c1ccccc1
Ac232,O=C(O)c1c2ccccc2nc2ccccc12,223.231,17,1,aryl_other,c1ccc2nc3ccccc3cc2c1
Ac233,O=C(O)CCC(=O)c1ccc(Br)cc1,257.083,14,4,acyclic_ali,c1ccccc1
Ac234,O=C(O)c1ccc(P(c2ccccc2)c2ccccc2)cc1,306.301,22,4,benzoic,c1ccc(P(c2ccccc2)c2ccccc2)cc1
Ac237,O=C(O)C1c2ccccc2Oc2ccccc21,226.231,17,1,cyclic_ali,c1ccc2c(c1)Cc1ccccc1O2
Ac239,O=C(O)CCCN1C(=O)c2ccccc2C1=O,233.223,17,4,acyclic_ali,O=C1NC(=O)c2ccccc21
Ac240,Cc1ccc(C(=O)O)cc1I,262.046,11,1,benzoic,c1ccccc1
Ac242,O=C(O)CCCOc1ccc([N+](=O)[O-])cc1,225.2,16,6,acyclic_ali,c1ccccc1
Ac243,O=C(O)c1ccccc1C(=O)OC1CCCCC1,248.278,18,3,benzoic,O=C(OC1CCCCC1)c1ccccc1
Ac244,O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,260.676,18,3,benzoic,O=C(c1ccccc1)c1ccccc1
Ac246,O=C(O)c1ccc2cc(Br)ccc2c1,251.079,14,1,benzoic,c1ccc2ccccc2c1
Ac247,O=C(O)c1cc(Br)nn1-c1ncccc1Cl,302.515,16,2,heteroaryl,c1ccc(-n2cccn2)nc1
Ac251,COc1cc(CCC(=O)O)cc(OC)c1OC,240.255,17,6,acyclic_ali,c1ccccc1
Ac253,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,234.339,17,1,benzoic,c1ccccc1
Ac254,O=C(O)CCc1ccccc1Br,229.073,12,3,acyclic_ali,c1ccccc1
Ac256,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)O)c1nnc(C)n1-2,400.891,27,3,acyclic_ali,c1ccc(C2=NCc3nncn3-c3sccc32)cc1
Ac257,CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,436.903,31,8,heteroaryl,c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3ccnc3)cc2)c1
Ac258,O=C(O)c1cc(Br)ccc1Br,279.915,11,1,benzoic,c1ccccc1
Ac259,O=C(O)Cc1ccc2ccc3cccc4ccc1c2c34,260.292,20,2,acyclic_ali,c1cc2ccc3cccc4ccc(c1)c2c34
Ac261,O=C(O)COc1ccc(Br)cc1,231.045,12,3,acyclic_ali,c1ccccc1
Ac262,COc1cc(Br)c(C(=O)O)cc1OC,261.071,14,3,benzoic,c1ccccc1
Ac263,CC1(C)C=C2[C@H]3CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC1,454.695,33,1,alpha_quat,O=C1CCC2C(CCC3C4CCC5CCCC=C5C4CCC23)C1
Ac265,O=C(O)/C=C/c1cccc(Br)c1,227.057,12,2,other,c1ccccc1
Ac266,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)O)n1,430.373,31,9,benzoic,c1cnc(Oc2cccc(Oc3ncccn3)c2)nc1
Ac267,CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2ccc(C(=O)O)cc21,460.394,34,3,benzoic,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21
Ac268,O=C(O)c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,246.562,16,3,benzoic,c1ccccc1
Ac274,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,268.268,20,2,acyclic_ali,O=C1c2ccccc2COc2ccccc21
Ac276,O=C(O)c1c(Cl)ccc(Cl)c1Cl,225.458,12,1,benzoic,c1ccccc1
Ac277,COc1cc(/C=C/C(=O)O)ccc1OC(C)=O,236.223,17,4,other,c1ccccc1
Ac278,O=C(O)/C=C/c1ccc(Cl)c(Cl)c1,217.051,13,2,other,c1ccccc1
Ac281,O=C(O)c1cccc2c1C(=O)c1ccccc1-2,224.215,17,1,benzoic,O=C1c2ccccc2-c2ccccc21
Ac282,O=C(O)c1cccc(C(=O)c2ccccc2)c1,226.231,17,3,benzoic,O=C(c1ccccc1)c1ccccc1
Ac283,COc1ccc2cc(CC(=O)O)ccc2c1,216.236,16,3,acyclic_ali,c1ccc2ccccc2c1
Ac284,O=C(O)c1ccc(CBr)c([N+](=O)[O-])c1,260.043,14,3,benzoic,c1ccccc1
Ac285,COc1ccc(C(=O)O)cc1Br,231.045,12,2,benzoic,c1ccccc1
Ac287,COc1ccc2cc(C(=O)O)c(=O)oc2c1,220.18,16,2,aryl_other,O=c1ccc2ccccc2o1
Ac288,O=C(O)C#Cc1ccc(Br)cc1,225.041,12,0,other,c1ccccc1
Ac289,O=C(O)c1cc(F)ccc1Br,219.009,11,1,benzoic,c1ccccc1
Ac290,O=C(O)CCc1ccc(C(F)(F)F)cc1,218.174,15,3,acyclic_ali,c1ccccc1
Ac291,O=C(O)CC(c1ccccc1)(c1ccccc1)c1ccccc1,302.373,23,5,acyclic_ali,c1ccc(C(c2ccccc2)c2ccccc2)cc1
Ac292,O=C(O)c1cc([N+](=O)[O-])ccc1Br,246.016,13,2,benzoic,c1ccccc1
Ac293,O=C(O)c1ccc(Br)cc1[N+](=O)[O-],246.016,13,2,benzoic,c1ccccc1
Ac294,CC(=O)Oc1cc(C(=O)O)cc(OC(C)=O)c1OC(C)=O,296.231,21,4,benzoic,c1ccccc1
Ac295,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)O,316.441,23,1,cyclic_ali,O=C1C=C2CCC3C4CCCC4CCC3C2CC1
Ac296,O=C(O)C(=O)c1ccc(C(F)(F)F)cc1,218.13,15,2,other,c1ccccc1
Ac297,O=C(O)c1ccc2ccccc2c1Br,251.079,14,1,benzoic,c1ccc2ccccc2c1
Ac298,CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,340.419,24,4,acyclic_ali,C1=Cc2ccccc2C1=Cc1ccccc1
Ac300,COc1ccc(Br)cc1C(=O)O,231.045,12,2,benzoic,c1ccccc1
Ac302,O=C(O)c1cccc([N+](=O)[O-])c1Br,246.016,13,2,benzoic,c1ccccc1
Ac303,O=C(O)c1ccc(OCCn2ccnc2)cc1,232.239,17,5,benzoic,c1ccc(OCCn2ccnc2)cc1
Ac304,C=CC(=O)OCCCCCCOc1ccc(C(=O)O)cc1,292.331,21,10,benzoic,c1ccccc1
Ac306,O=C(O)c1ccc(Cl)cc1I,282.464,11,1,benzoic,c1ccccc1
Ac307,CCCCCCCCc1ccc(C(=O)O)cc1,234.339,17,8,benzoic,c1ccccc1
Ac309,CCCCCCCc1ccc(C(=O)O)cc1,220.312,16,7,benzoic,c1ccccc1
Ac311,O=C(O)/C=C/c1cccc(C(F)(F)F)c1,216.158,15,2,other,c1ccccc1
Ac313,O=C(O)COc1ccc(Cl)c(Cl)c1,221.039,13,3,acyclic_ali,c1ccccc1
Ac314,O=C(O)c1ccc(Cl)c(C(F)(F)F)c1,224.565,14,1,benzoic,c1ccccc1
Ac316,O=C(O)c1cc(Br)ccc1I,326.915,11,1,benzoic,c1ccccc1
Ac317,O=C(O)c1cc(Br)ccc1F,219.009,11,1,benzoic,c1ccccc1
Ac319,O=C(O)c1cc2cc(Br)ccc2oc1=O,269.05,15,1,aryl_other,O=c1ccc2ccccc2o1
Ac320,O=C(O)c1cccc(OCc2ccccc2)c1OCc1ccccc1,334.371,25,7,benzoic,c1ccc(COc2ccccc2OCc2ccccc2)cc1
Ac321,O=C(O)c1cccc2c1-c1ccccc1C2=O,224.215,17,1,benzoic,O=C1c2ccccc2-c2ccccc21
Ac324,COC(C(=O)O)(c1ccccc1)C(F)(F)F,234.173,16,3,acyclic_ali,c1ccccc1
Ac325,O=C(O)c1cc(Cl)ccc1I,282.464,11,1,benzoic,c1ccccc1
Ac327,O=C(O)c1cc(Cl)ccc1Br,235.464,11,1,benzoic,c1ccccc1
Ac329,CC(C)(C)OC(=O)N1CCC(C)(C(=O)O)CC1,243.303,17,1,alpha_quat,C1CCNCC1
Ac330,O=C(O)c1cc([N+](=O)[O-])cc(C(F)(F)F)c1,235.117,16,2,benzoic,c1ccccc1
Ac331,O=C(O)CSC(c1ccccc1)(c1ccccc1)c1ccccc1,334.44,24,6,acyclic_ali,c1ccc(C(c2ccccc2)c2ccccc2)cc1
Ac334,O=C(O)c1cc2ccccc2c2ccccc12,222.243,17,1,benzoic,c1ccc2c(c1)ccc1ccccc12
Ac335,CS(=O)(=O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,245.212,16,3,benzoic,c1ccccc1
Ac336,CC(C)c1cc(C(C)C)c(C(=O)O)c(C(C)C)c1,248.366,18,4,benzoic,c1ccccc1
Ac339,O=C(O)/C=C/c1ccccc1Br,227.057,12,2,other,c1ccccc1
Ac340,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1,256.257,19,4,benzoic,O=C(c1ccccc1)c1ccccc1
Ac341,O=C(O)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,272.144,18,2,acyclic_ali,c1ccccc1
Ac343,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1Cl,246.562,16,3,benzoic,c1ccccc1
Ac346,O=C(O)Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],226.144,16,4,acyclic_ali,c1ccccc1
Ac347,O=C(O)C(Br)C(Br)c1ccccc1,307.969,13,3,acyclic_ali,c1ccccc1
