acid_id,smiles,mw,n_heavy,n_rot,subclass,murcko_scaffold
Ac1747,COC(=O)c1ccc([N+](=O)[O-])c(C(=O)O)c1,225.156,16,3,benzoic,c1ccccc1
Ac1748,CC(=O)Oc1ccc(CC(=O)O)cc1OC(C)=O,252.222,18,4,acyclic_ali,c1ccccc1
Ac1750,O=C(O)C1(c2ccc(Cl)c(Cl)c2)CC1,231.078,14,2,alpha_quat,c1ccc(C2CC2)cc1
Ac1751,Cc1ccnc(-c2cc(CCCC(=O)O)ccn2)c1,256.305,19,5,acyclic_ali,c1ccc(-c2ccccn2)nc1
Ac1753,CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)O,284.377,19,5,acyclic_ali,c1ccccc1
Ac1754,CS(=O)(=O)Nc1cccc(CC(=O)O)c1,229.257,15,4,acyclic_ali,c1ccccc1
Ac1755,CCOC(=O)C(Cc1cccs1)C(=O)O,228.269,15,5,acyclic_ali,c1ccsc1
Ac1756,NS(=O)(=O)c1ccc(F)c(C(=O)O)c1,219.193,14,2,benzoic,c1ccccc1
Ac1758,O=C(O)C1(c2ccc([N+](=O)[O-])cc2)CCC1,221.212,16,3,alpha_quat,c1ccc(C2CCC2)cc1
Ac1759,O=C(O)c1c(I)ccc(Br)c1F,344.905,12,1,benzoic,c1ccccc1
Ac1760,Cc1c(C(=O)O)cnn1-c1ccc(Cl)cc1,236.658,16,2,aryl_other,c1ccc(-n2cccn2)cc1
Ac1761,Cc1c(CC(=O)O)sc2ccc(Cl)cc12,240.711,15,2,acyclic_ali,c1ccc2sccc2c1
Ac1762,CC(C)(C)c1ccc(C(=O)O)c(Br)c1,257.127,14,1,benzoic,c1ccccc1
Ac1763,O=C(O)c1c(Cl)cc(C(F)(F)F)cc1Cl,259.01,15,1,benzoic,c1ccccc1
Ac1764,CC(C)(C)OC(=O)COc1ccc(C(=O)O)cc1,252.266,18,4,benzoic,c1ccccc1
Ac1765,COc1ccc(-n2nc(C(F)(F)F)cc2C(=O)O)cc1,286.209,20,3,heteroaryl,c1ccc(-n2cccn2)cc1
Ac1767,CCC1(C(=O)O)CCN(C(=O)OC(C)(C)C)CC1,257.33,18,2,alpha_quat,C1CCNCC1
Ac1768,Cc1ccn(-c2ccc(C(=O)O)c(C(F)(F)F)c2)n1,270.21,19,2,benzoic,c1ccc(-n2cccn2)cc1
Ac1771,CCOc1ccc(S(=O)(=O)Cl)cc1C(=O)O,264.686,16,4,benzoic,c1ccccc1
Ac1772,O=C(O)C1(c2ccc(C(F)(F)F)cc2)CC1,230.185,16,2,alpha_quat,c1ccc(C2CC2)cc1
